author,date,outlet,title,language,link,icon,comment,pic,video,e-paper,audio,audio2
Sandra Gloning,07 April 2026,Arbeit & Wirtschaft,Musik ohne Muse,German,https://www.arbeit-wirtschaft.at/wp-content/uploads/2026/04/AW_02_2026_Gesundheit_Web.pdf,text,"Ausgabe 2/2026, pp 40-43",,,,,
Iris Burtscher,02 April 2026,Salzburger Nachrichten,Die KI als Arbeitgeber: Warum sich ein Wiener von KI-Agenten buchen lässt,German,https://www.sn.at/wirtschaft/oesterreich/die-ki-als-arbeitgeber-warum-sich-ein-wiener-von-ki-agenten-buchen-laesst-art-643707,text,,,,,,
Martin Ferdiny,13 February 2026,ORF Radio Salzburg ,ORF Radio Salzburg Mittagszeit: KI und Liebe,German,https://sound.orf.at/radio/sbg/sendung/52737/mittagszeit,audio,,,,,,
Christine Hackenbuchner,13 February 2026,ORF Radio Salzburg,Verliebt in KI: Wie Chatbots Herzen erobern,German,https://salzburg.orf.at/stories/3338422/,text,,,,,,
Mario Friedwagner,19 December 2025,Freies Radio Salzkammergut,"Confirm Humanity – Kunst, Kultur und Künstliche Intelligenz (Teil 5)",German,https://cba.media/751436,audio,,,,,,
Mario Friedwagner,18 December 2025,Freies Radio Salzkammergut,Confirm Humanity – Bildung und Arbeit (Teil 4),German,https://cba.media/751435,audio,,,,,,
Mario Friedwagner,16 December 2025,Freies Radio Salzkammergut,Confirm Humanity – Soziale Gerechtigkeit (Teil 2),German,https://cba.media/751431,audio,,,,,,
Hilde Mayer,30 September 2025,Salzburger Nachrichten,Wie die Mint-Branche Frauen verliert,German,,text,,,,,,
Hilde Mayer,29 September 2025,Salzburger Nachrichten,Frauenförderung in Mint-Berufen: Warum so viele Frauen die Branche verlassen,German,https://www.sn.at/politik/innenpolitik/frauenfoerderung-tech-berufen-warum-frauen-branche-185206885,text,,,,,,
Willy Bauer,04 April 2025,medianet,KI – Intelligenz oder Datenklau?,German,https://medianet.at/news/marketing-and-media/ki-intelligenz-oder-datenklau-66924.html,text,,,,,,
Krutika Dudharejiya,02 April 2025,Feminism in India,Spotify As A Capitalist Tool Reinforcing Gendered Violence,English,https://feminisminindia.com/2025/04/02/spotify-as-a-capitalist-tool-reinforcing-gendered-violence/,text,,,,,,
Franziska Stritzl,02 April 2025,MeinBezirk,Herausforderungen und Chancen der Live-Musikbranche,German,https://www.meinbezirk.at/niederoesterreich/c-lokales/herausforderungen-und-chancen-der-live-musikbranche_a7236796,text,,,,,,
,01 April 2025,"ton:0125, Das Mitglieder-Magazin der akm",Musik aus den Regionen,German,https://www.akm.at/wp-content/uploads/2025/04/AKM_ton0125_Online.pdf,text,,,,,,
,31 March 2025,NÖN.at,Musik aus den Regionen 2025,German,https://www.noen.at/niederoesterreich/kultur-festivals/mica-music-austria-musik-aus-den-regionen-2025-469919724,text,,,,,,
Laura Tischberger,31 March 2025,stadtlandzeitung,Musik aus den Regionen 2025,German,https://stadtlandzeitung.com/musik-aus-den-regionen-2025/,text,,,,,,
,27 March 2025,brandaktuell.at,Musik aus den Regionen 2025,German,https://brandaktuell.at/2025/03/27/karriere/musik-aus-den-regionen-2025/,text,,,,,,
Ulrich Biermann,02 January 2025,Deutschlandfunk,"A man's world? Spotify-Playlisten wie ""New Music Friday"" im Gendercheck",German,https://www.deutschlandfunk.de/a-man-s-world-spotify-playlisten-wie-new-music-friday-im-gendercheck-dlf-e5f9fe72-100.html,audio,,,,,,
,18 December 2024,Backstage PRO,Untersuchung zeigt Genderungleichheit in Spotify-Playlists,German,https://www.backstagepro.de/thema/untersuchung-zeigt-genderungleichheit-in-spotify-playlists-2024-12-18-Sb6BNfBCNn,text,,,,,,
Gabriele Pfeifer,12 October 2024,Salzburger Nachrichten,"Zwei Jahre „DAS"" - eine Erfolgsgeschichte",German,https://issuu.com/unisalzburg/docs/uni_nachrichten_3_2024/12,text,Uni-Nachrichten,,,,,
Georg Prenner,04 October 2024,ORF Burgenland Mahlzeit Burgenland,Christine Bauer (Wissenschaftlerin) zu Gast bei Georg Prenner,German,https://sound.orf.at/podcast/bgl/mahlzeit-burgenland---kochen--tratschen/christine-bauer-wissenschaftlerin-zu-gast-bei-georg-prenner,audio,,,,,,
,04 October 2024,ORF Burgenland Mahlzeit Burgenland,Christine Bauer und Topfenfleckerl,German,https://burgenland.orf.at/magazin/stories/3275671/,text,,,,,,
,30 June 2024,TECHNO-Zine,Big Data & Big Band,German,https://issuu.com/techno-z/docs/final_techno_zine24-all-10_es_issuu/28,text,pp 28-29,,,,,
Elisa Torner,25 June 2024,Kronen Zeitung,"Welches Lied ein Hit wird, bestimmt die KI",German,https://www.krone.at/3433203,text,,,,,,
Anton Prlić,05 June 2024,Salzburger Nachrichten,Digitale Wissenschaften sehen sich als Brücke zur Wirtschaft,German,,text,,,,,,
,05 June 2024,regionews.at,Salzburg: Neue Fakultät zu Digitalisierung an Uni Salzburg auf der Erfolgsspur,German,https://www.regionews.at/newsdetail/Neue_Fakultaet_zu_Digitalisierung_an_Uni_Salzburg_auf_der_Erfolgsspur-578878,text,,,,,,
Marius Holzer,04 June 2024,ORF Salzburg,Salzburg Heute,German,,video,,,,,,
Anton Prlić,04 June 2024,Salzburger Nachrichten,Neue Fakultät an Universität Salzburg: Digitale Wissenschaften als Brücke zur Wirtschaft,German,https://www.sn.at/salzburg/politik/neue-fakultaet-universitaet-salzburg-digitale-wissenschaften-bruecke-wirtschaft-159529531,text,,,,,,
Franz Wieser,04 June 2024,Land Salzburg,Digitalisierung,German,https://youtu.be/wyTQH2IXVkE?si=N3AZUE9JVScYjarG,video,,,https://youtu.be/wyTQH2IXVkE?si=N3AZUE9JVScYjarG,,,
,04 June 2024,Land Salzburg,Neue Fakultät zu Digitalisierung an Uni Salzburg auf der Erfolgsspur,German,https://service.salzburg.gv.at/lkorrj/detail?nachrid=70065,text,,,,,,
Sabine Salzmann,04 June 2024,Kronen Zeitung,Big Data wächst an der Universität Salzburg,German,https://www.krone.at/3403177,text,,,,,,
Claudia Lagler,06 April 2024,Die Presse,Streaming: Wie Musik-Empfehlungen fairer werden könnten,German,https://www.diepresse.com/18337935/streaming-wie-musik-empfehlungen-fairer-werden-koennten,text,,,,,,
Clemens Panagl,02 April 2024,Salzburger Nachrichten,"Streamingdienste und ihre Musikempfehlungen: Wer bestimmt, was wir hören?",German,https://www.sn.at/kultur/musik/wer-156041971,text,,,,,,
Clemens Panagl,06 March 2024,Salzburger Nachrichten,Karajan Music Tech Conference: Mit Rasanz in Richtung Musik-Zukunft,German,https://www.sn.at/kultur/musik/mit-rasanz-musik-zukunft-154541926,text,,,,,,
Hannah Mauracher,04 March 2024,Salzburger Nachrichten,"Frauenmangel in MINT: ""Noch immer ein Problem mit Geschlechterklischees""",German,https://www.sn.at/leben/karriere/frauenmangel-mint-noch-problem-geschlechterklischees-154469107,text,"Journal Bildung, p 10-12",,,,,
,02 December 2023,Salzburger Nachrichten,Acht neue Professuren an der Paris Lodron Universität Salzburg,German,../pdfs/20231202_salzburgernachrichten_p12.pdf,text,"2023-12-02, p 12",,,,,
Christine Bauer & Johannes Zeller,01 August 2023,ZEITGEISTER – The Cultural Magazine of the Goethe-Institut,Show me what you hear,English,https://www.goethe.de/prj/zei/en/art/24964485.html,text,,,,,,
Christine Bauer & Johannes Zeller,01 August 2023,ZEITGEISTER – Das Kulturmagazin des Goethe-Instituts,"Zeig' mir, was du hörst",German,https://www.goethe.de/prj/zei/de/art/24964485.html,text,,,,,,
Daniel Nagel,31 May 2023,Backstage PRO,Das Future Music Camp 2023 an der Popakademie diskutiert Chancen und Risiken von KI,German,https://www.backstagepro.de/thema/das-future-music-camp-2023-an-der-popakademie-diskutiert-chancen-und-risiken-von-ki-2023-05-31-ZDlYdcHXKM,text,,,,,,
Gereon Hoffmann,25 May 2023,DIE RHEINPFALZ,„Bekanntes wird noch bekannter“: Christine Bauer forscht über Künstliche Intelligenz in der Musikbranche,German,"https://www.rheinpfalz.de/lokal/ludwigshafen_artikel,-bekanntes-wird-noch-bekannter-christine-bauer-forscht-über-künstliche-intelligenz-in-der-musikbra-_arid,5510181.html",text,,,,,,
Florian Endres,12 May 2023,Backstage PRO,"""Algorithmen beeinflussen, was User tatsächlich hören"": Christine Bauer (Universität Salzburg) über KI, Empfehlungsalgorithmen und deren Auswirkungen auf Musiker/innen",German,https://www.backstagepro.de/thema/christine-bauer-universitaet-salzburg-ueber-ki-empfehlungsalgorithmen-und-deren-auswirkungen-auf-musiker-innen-2023-05-12-GJ1ZbMgtLL,text,,,,,,